user_id,id_cluster,gender,age,height,avg_weight_last7d,noted_at,calories_consumed_last_3_days_avg,protein_intake_last_3_days_avg,carbs_intake_last_3_days_avg,fat_intake_last_3_days_avg,id_recommendation,feedback
1,1,Male,23,180.0,67.9,2025-04-10 15:00:00,2912,171,388,94,14,0
1,1,Male,23,180.0,67.9,2025-04-10 15:00:05,2912,171,388,94,16,0
1,1,Male,23,180.0,67.9,2025-04-10 15:00:10,2912,171,388,94,1,1
1,1,Male,23,180.0,68.3,2025-04-11 15:00:00,2335,152,362,101,13,0
1,1,Male,23,180.0,68.3,2025-04-11 15:00:05,2335,152,362,101,3,1
1,1,Male,23,180.0,68.1,2025-04-12 15:00:00,2611,146,353,96,4,1
1,1,Male,23,180.0,67.7,2025-04-14 15:00:00,2239,148,366,103,12,0
1,1,Male,23,180.0,67.7,2025-04-14 15:00:05,2239,148,366,103,16,0
1,1,Male,23,180.0,67.7,2025-04-14 15:00:10,2239,148,366,103,1,1
1,1,Male,23,180.0,67.8,2025-04-15 15:00:00,2728,148,318,89,16,0
1,1,Male,23,180.0,67.8,2025-04-15 15:00:05,2728,148,318,89,3,1
1,1,Male,23,180.0,67.6,2025-04-16 15:00:00,2767,138,353,78,3,1
1,1,Male,23,180.0,68.3,2025-04-18 15:00:00,2740,150,364,100,9,0
1,1,Male,23,180.0,68.3,2025-04-18 15:00:05,2740,150,364,100,18,0
1,1,Male,23,180.0,68.3,2025-04-18 15:00:10,2740,150,364,100,17,1
1,1,Male,23,180.0,67.9,2025-04-19 15:00:00,2846,150,312,97,7,0
1,1,Male,23,180.0,67.9,2025-04-19 15:00:05,2846,150,312,97,19,1
1,1,Male,23,180.0,68.3,2025-04-20 15:00:00,2764,153,337,99,3,1
1,1,Male,23,180.0,68.2,2025-04-22 15:00:00,2643,123,409,98,13,0
1,1,Male,23,180.0,68.2,2025-04-22 15:00:05,2643,123,409,98,3,0
1,1,Male,23,180.0,68.2,2025-04-22 15:00:10,2643,123,409,98,20,1
1,1,Male,23,180.0,67.8,2025-04-23 15:00:00,2603,165,374,84,8,0
1,1,Male,23,180.0,67.8,2025-04-23 15:00:05,2603,165,374,84,1,1
1,1,Male,23,180.0,68.2,2025-04-24 15:00:00,2648,143,339,98,2,1
1,1,Male,23,180.0,68.3,2025-04-26 15:00:00,2659,162,328,83,12,0
1,1,Male,23,180.0,68.3,2025-04-26 15:00:05,2659,162,328,83,3,0
1,1,Male,23,180.0,68.3,2025-04-26 15:00:10,2659,162,328,83,2,1
1,1,Male,23,180.0,67.7,2025-04-27 15:00:00,2749,151,350,87,5,0
1,1,Male,23,180.0,67.7,2025-04-27 15:00:05,2749,151,350,87,3,1
1,1,Male,23,180.0,68.0,2025-04-28 15:00:00,2552,143,332,79,3,1
1,1,Male,23,180.0,68.0,2025-04-30 15:00:00,2484,138,314,91,12,0
1,1,Male,23,180.0,68.0,2025-04-30 15:00:05,2484,138,314,91,9,0
1,1,Male,23,180.0,68.0,2025-04-30 15:00:10,2484,138,314,91,4,1
1,1,Male,23,180.0,68.3,2025-05-01 15:00:00,2689,146,326,89,16,0
1,1,Male,23,180.0,68.3,2025-05-01 15:00:05,2689,146,326,89,10,1
