user_id,id_cluster,gender,age,height,avg_weight_last7d,avg_steps_last7d,avg_bpm_last7d,avg_active_minutes_last7d,noted_at,recommendation_id,is_positive
6,1,Male,23,186.1,67.9,17285,78.1,153,2025-08-01 15:00:00,2.0,0.0
6,1,Male,23,186.1,67.9,17285,78.1,153,2025-08-01 15:00:05,4.0,0.0
6,1,Male,23,186.1,67.9,17285,78.1,153,2025-08-01 15:00:10,15.0,1.0
6,1,Male,23,186.1,67.4,16566,82.3,133,2025-08-02 15:00:00,7.0,0.0
6,1,Male,23,186.1,67.4,16566,82.3,133,2025-08-02 15:00:05,15.0,1.0
6,1,Male,23,186.1,67.5,16296,82.1,134,2025-08-03 15:00:00,11.0,1.0
6,1,Male,23,186.1,67.1,17488,81.0,153,2025-08-05 15:00:00,6.0,0.0
6,1,Male,23,186.1,67.1,17488,81.0,153,2025-08-05 15:00:05,16.0,0.0
6,1,Male,23,186.1,67.1,17488,81.0,153,2025-08-05 15:00:10,14.0,1.0
6,1,Male,23,186.1,67.2,15363,81.2,115,2025-08-06 15:00:00,18.0,0.0
6,1,Male,23,186.1,67.2,15363,81.2,115,2025-08-06 15:00:05,11.0,1.0
6,1,Male,23,186.1,66.9,18027,82.2,136,2025-08-07 15:00:00,9.0,1.0
6,1,Male,23,186.1,67.3,17276,80.9,140,2025-08-09 15:00:00,2.0,0.0
6,1,Male,23,186.1,67.3,17276,80.9,140,2025-08-09 15:00:05,4.0,0.0
6,1,Male,23,186.1,67.3,17276,80.9,140,2025-08-09 15:00:10,11.0,1.0
6,1,Male,23,186.1,67.5,18394,83.0,149,2025-08-10 15:00:00,11.0,0.0
6,1,Male,23,186.1,67.5,18394,83.0,149,2025-08-10 15:00:05,15.0,1.0
6,1,Male,23,186.1,67.1,17908,83.0,138,2025-08-11 15:00:00,2.0,1.0
6,1,Male,23,186.1,67.1,18593,81.2,137,2025-08-13 15:00:00,16.0,0.0
6,1,Male,23,186.1,67.1,18593,81.2,137,2025-08-13 15:00:05,4.0,0.0
6,1,Male,23,186.1,67.1,18593,81.2,137,2025-08-13 15:00:10,11.0,1.0
6,1,Male,23,186.1,67.0,18881,79.2,157,2025-08-14 15:00:00,5.0,0.0
6,1,Male,23,186.1,67.0,18881,79.2,157,2025-08-14 15:00:05,11.0,1.0
6,1,Male,23,186.1,66.7,18072,80.7,154,2025-08-15 15:00:00,11.0,1.0
6,1,Male,23,186.1,66.5,14813,81.6,158,2025-08-17 15:00:00,10.0,0.0
6,1,Male,23,186.1,66.5,14813,81.6,158,2025-08-17 15:00:05,1.0,0.0
6,1,Male,23,186.1,66.5,14813,81.6,158,2025-08-17 15:00:10,11.0,1.0
6,1,Male,23,186.1,66.6,17672,79.1,135,2025-08-18 15:00:00,12.0,0.0
6,1,Male,23,186.1,66.6,17672,79.1,135,2025-08-18 15:00:05,15.0,1.0
6,1,Male,23,186.1,66.9,17684,80.6,157,2025-08-19 15:00:00,17.0,1.0
6,1,Male,23,186.1,67.4,19649,81.5,160,2025-08-21 15:00:00,16.0,0.0
6,1,Male,23,186.1,67.4,19649,81.5,160,2025-08-21 15:00:05,7.0,0.0
6,1,Male,23,186.1,67.4,19649,81.5,160,2025-08-21 15:00:10,9.0,1.0
6,1,Male,23,186.1,67.1,17528,81.0,145,2025-08-22 15:00:00,16.0,0.0
6,1,Male,23,186.1,67.1,17528,81.0,145,2025-08-22 15:00:05,19.0,1.0
6,1,Male,23,186.1,67.0,17593,76.9,139,2025-08-23 15:00:00,11.0,1.0
6,1,Male,23,186.1,66.9,18606,85.0,137,2025-08-25 15:00:00,16.0,0.0
6,1,Male,23,186.1,66.9,18606,85.0,137,2025-08-25 15:00:05,15.0,0.0
6,1,Male,23,186.1,66.9,18606,85.0,137,2025-08-25 15:00:10,19.0,1.0
6,1,Male,23,186.1,66.6,18318,82.0,152,2025-08-26 15:00:00,6.0,0.0
6,1,Male,23,186.1,66.6,18318,82.0,152,2025-08-26 15:00:05,15.0,1.0
6,1,Male,23,186.1,66.5,18123,84.5,124,2025-08-27 15:00:00,8.0,1.0
6,1,Male,23,186.1,66.1,19919,79.0,154,2025-08-29 15:00:00,20.0,0.0
6,1,Male,23,186.1,66.1,19919,79.0,154,2025-08-29 15:00:05,4.0,0.0
6,1,Male,23,186.1,66.1,19919,79.0,154,2025-08-29 15:00:10,19.0,1.0
6,1,Male,23,186.1,66.1,18556,79.4,130,2025-08-30 15:00:00,13.0,0.0
6,1,Male,23,186.1,66.1,18556,79.4,130,2025-08-30 15:00:05,15.0,1.0
